team,power,confederation,host,style_note,power_rank
France,97,UEFA,False,elite transition power,1
Spain,97,UEFA,False,control + high chance quality,2
Argentina,95,CONMEBOL,False,elite tournament management,3
Brazil,94,CONMEBOL,False,high-ceiling attack,4
England,93,UEFA,False,set-piece + elite forwards,5
Portugal,91,UEFA,False,technical depth,6
Germany,90,UEFA,False,chance creation volume,7
Netherlands,88,UEFA,False,defensive structure,8
Belgium,86,UEFA,False,transition attack,9
Colombia,84,CONMEBOL,False,balanced tournament profile,10
Uruguay,84,CONMEBOL,False,balanced tournament profile,11
Croatia,83,UEFA,False,balanced tournament profile,12
Morocco,82,CAF,False,compact counter-attacking,13
Switzerland,82,UEFA,False,balanced tournament profile,14
Japan,81,AFC,False,organized pressing,15
Norway,81,UEFA,False,balanced tournament profile,16
Senegal,80,CAF,False,balanced tournament profile,17
USA,80,CONCACAF,True,home-athletic pressing,18
Austria,79,UEFA,False,balanced tournament profile,19
Ecuador,79,CONMEBOL,False,balanced tournament profile,20
Mexico,79,CONCACAF,True,home-altitude tournament resilience,21
Sweden,78,UEFA,False,balanced tournament profile,22
Türkiye,78,UEFA,False,balanced tournament profile,23
Côte d'Ivoire,77,CAF,False,balanced tournament profile,24
South Korea,77,AFC,False,balanced tournament profile,25
Egypt,76,CAF,False,balanced tournament profile,26
Paraguay,76,CONMEBOL,False,balanced tournament profile,27
Canada,75,CONCACAF,True,home pace attack,28
Algeria,74,CAF,False,balanced tournament profile,29
Australia,74,AFC,False,balanced tournament profile,30
Iran,74,AFC,False,balanced tournament profile,31
Czechia,73,UEFA,False,balanced tournament profile,32
Ghana,73,CAF,False,balanced tournament profile,33
Scotland,73,UEFA,False,balanced tournament profile,34
Bosnia and Herzegovina,72,UEFA,False,balanced tournament profile,35
Tunisia,71,Other,False,balanced tournament profile,36
Saudi Arabia,70,AFC,False,balanced tournament profile,37
South Africa,70,CAF,False,balanced tournament profile,38
Congo DR,69,CAF,False,balanced tournament profile,39
Iraq,69,AFC,False,balanced tournament profile,40
Qatar,68,AFC,False,balanced tournament profile,41
Uzbekistan,68,AFC,False,balanced tournament profile,42
Panama,67,CONCACAF,False,balanced tournament profile,43
Jordan,65,AFC,False,balanced tournament profile,44
Cabo Verde,64,CAF,False,balanced tournament profile,45
New Zealand,64,OFC,False,balanced tournament profile,46
Haiti,62,CONCACAF,False,balanced tournament profile,47
Curaçao,61,CONCACAF,False,balanced tournament profile,48
